Lattitude	Longitude	WaveProb
51.09459	1.484849	1.2340001
51.09459	1.515152	1.2520001
51.09459	1.545455	1.266
51.09459	1.575758	1.292
51.09459	1.606061	1.3160001
51.09459	1.636364	1.342
51.09459	1.666667	1.368
51.09459	1.69697	1.376
51.09459	1.727273	1.3740001
51.09459	1.757576	1.378
51.09459	1.787879	1.3820001
51.09459	1.818182	1.376
51.09459	1.848485	1.358
51.09459	1.878788	1.3540001
51.09459	1.909091	1.338
51.09459	1.939394	1.3280001
51.09459	1.969697	1.314
51.09459	2.0	1.292
51.09459	2.030303	1.2700001
51.09459	2.060606	1.256
51.09459	2.09091	1.2260001
51.09459	2.121213	1.2040001
51.09459	2.151516	1.1960001
51.09459	2.181819	1.2
51.09459	2.212122	1.1880001
51.09459	2.242425	1.164
51.09459	2.272728	1.1420001
51.09459	2.303031	1.11
51.09459	2.333334	1.07
51.09459	2.363637	1.0500001
51.09459	2.39394	1.0320001
51.09459	2.424243	1.016
51.09459	2.454546	0.99600005
51.09459	2.484849	0.97200006
51.09459	2.515152	0.93200004
51.09459	2.545455	0.892
51.10811	1.484849	1.1680001
51.10811	1.515152	1.202
51.10811	1.545455	1.222
51.10811	1.575758	1.266
51.10811	1.606061	1.2800001
51.10811	1.636364	1.3080001
51.10811	1.666667	1.3340001
51.10811	1.69697	1.366
51.10811	1.727273	1.3720001
51.10811	1.757576	1.3700001
51.10811	1.787879	1.376
51.10811	1.818182	1.376
51.10811	1.848485	1.368
51.10811	1.878788	1.35
51.10811	1.909091	1.3340001
51.10811	1.939394	1.3360001
51.10811	1.969697	1.3240001
51.10811	2.0	1.3000001
51.10811	2.030303	1.2980001
51.10811	2.060606	1.2800001
51.10811	2.09091	1.2700001
51.10811	2.121213	1.256
51.10811	2.151516	1.248
51.10811	2.181819	1.2420001
51.10811	2.212122	1.2360001
51.10811	2.242425	1.222
51.10811	2.272728	1.2
51.10811	2.303031	1.174
51.10811	2.333334	1.13
51.10811	2.363637	1.1120001
51.10811	2.39394	1.1060001
51.10811	2.424243	1.088
51.10811	2.454546	1.0580001
51.10811	2.484849	1.034
51.10811	2.515152	1.01
51.10811	2.545455	0.97800004
51.10811	2.575758	0.93000007
51.10811	2.606061	0.882
51.12162	1.484849	1.1140001
51.12162	1.515152	1.1580001
51.12162	1.545455	1.1960001
51.12162	1.575758	1.2260001
51.12162	1.606061	1.2360001
51.12162	1.636364	1.2700001
51.12162	1.666667	1.2880001
51.12162	1.69697	1.3060001
51.12162	1.727273	1.3340001
51.12162	1.757576	1.338
51.12162	1.787879	1.338
51.12162	1.818182	1.3540001
