lat_bin,lon_bin,predicted
51.2,2.82,0.445484026723563
51.2,2.79,0.445484026723563
51.2,2.72,0.20420733247094308
51.2,2.76,0.445484026723563
51.2,2.78,0.445484026723563
51.2,2.8,0.445484026723563
51.2,2.74,0.445484026723563
51.2,2.81,0.445484026723563
51.2,2.75,0.445484026723563
51.2,2.77,0.445484026723563
51.21,2.76,0.445484026723563
51.21,2.83,0.445484026723563
51.21,2.79,0.445484026723563
51.21,2.81,0.445484026723563
51.21,2.77,0.445484026723563
51.21,2.82,0.445484026723563
51.21,2.8,0.445484026723563
51.22,2.83,0.445484026723563
51.22,2.81,0.445484026723563
51.22,2.8,0.445484026723563
51.23,2.73,0.445484026723563
51.23,2.83,0.445484026723563
51.23,2.75,0.445484026723563
51.23,2.79,0.445484026723563
51.23,2.78,0.445484026723563
51.23,2.8,0.445484026723563
51.24,2.8,0.24744876574951546
51.24,2.81,0.24744876574951546
51.24,2.85,0.41502165146122894
51.24,2.82,0.24744876574951546
51.24,2.75,0.24744876574951546
51.24,2.75,0.24744876574951546
51.24,2.75,0.24744876574951546
51.24,2.75,0.24744876574951546
51.24,2.89,0.41502165146122894
51.24,2.76,0.24744876574951546
51.24,2.77,0.24744876574951546
51.24,2.88,0.41502165146122894
51.24,2.86,0.41502165146122894
51.24,2.74,0.24744876574951546
51.24,2.78,0.24744876574951546
51.25,2.74,0.24744876574951546
51.25,2.75,0.24744876574951546
51.25,2.75,0.24744876574951546
51.25,2.75,0.24744876574951546
51.25,2.75,0.24744876574951546
51.25,2.77,0.24744876574951546
51.25,2.77,0.24744876574951546
51.25,2.77,0.24744876574951546
51.25,2.77,0.24744876574951546
51.25,2.84,0.41502165146122894
51.25,2.91,0.41502165146122894
51.25,2.94,0.41502165146122894
51.25,2.82,0.24744876574951546
51.25,2.9,0.41502165146122894
51.25,2.85,0.41502165146122894
51.25,2.76,0.24744876574951546
51.25,2.76,0.24744876574951546
51.25,2.76,0.24744876574951546
51.25,2.76,0.24744876574951546
51.25,2.92,0.41502165146122894
51.25,2.93,0.41502165146122894
51.25,2.83,0.24744876574951546
51.26,2.23,0.24075290899043644
51.26,2.29,0.29591601493520703
51.26,2.92,0.41502165146122894
51.26,2.78,0.24744876574951546
51.26,2.94,0.41502165146122894
51.26,2.76,0.24744876574951546
51.26,2.76,0.24744876574951546
51.26,2.76,0.24744876574951546
51.26,2.76,0.24744876574951546
51.26,2.24,0.24075290899043644
51.26,2.84,0.41502165146122894
51.26,2.93,0.41502165146122894
51.26,2.79,0.24744876574951546
51.26,2.79,0.24744876574951546
51.26,2.79,0.24744876574951546
51.26,2.79,0.24744876574951546
51.27,2.82,0.24744876574951546
51.27,2.82,0.24744876574951546
51.27,2.82,0.24744876574951546
51.27,2.82,0.24744876574951546
51.27,2.81,0.24744876574951546
51.27,2.81,0.24744876574951546
51.27,2.81,0.24744876574951546
51.27,2.81,0.24744876574951546
51.27,2.33,0.29591601493520703
51.27,2.86,0.41502165146122894
51.27,2.87,0.41502165146122894
51.28,2.89,0.41502165146122894
51.28,2.92,0.41502165146122894
51.29,2.92,0.41502165146122894
51.29,2.94,0.41502165146122894
51.29,2.93,0.41502165146122894
51.3,2.93,0.41502165146122894
51.3,2.94,0.41502165146122894
51.3,2.86,0.41502165146122894
51.3,2.92,0.41502165146122894
51.31,2.94,0.23620684469346076
51.31,2.93,0.23620684469346076
51.31,2.96,0.271168414356958
51.31,3.05,0.271168414356958
51.31,2.95,0.271168414356958
51.32,2.38,0.3633922520082975
51.32,3.12,0.4701756506331772
51.32,2.94,0.23620684469346076
51.32,3.06,0.4701756506331772
51.32,2.86,0.23620684469346076
51.32,3.08,0.4701756506331772
51.32,3.1,0.4701756506331772
51.32,2.87,0.23620684469346076
51.32,3.07,0.4701756506331772
51.32,3.14,0.4701756506331772
51.33,2.88,0.23620684469346076
51.33,3.1,0.4701756506331772
51.33,3.15,0.4701756506331772
51.33,2.89,0.23620684469346076
51.33,3.09,0.4701756506331772
51.33,3.16,0.4701756506331772
51.33,2.95,0.271168414356958
51.33,2.9,0.23620684469346076
51.33,2.5,0.5329385209993288
51.33,3.08,0.4701756506331772
51.34,3.16,0.4701756506331772
51.34,2.89,0.23620684469346076
51.34,2.54,0.5329385209993288
51.34,2.54,0.5329385209993288
51.34,2.54,0.5329385209993288
51.34,2.54,0.5329385209993288
51.34,2.54,0.5329385209993288
51.34,2.54,0.5329385209993288
51.34,2.87,0.23620684469346076
51.34,3.11,0.4701756506331772
51.34,3.12,0.4701756506331772
51.34,3.15,0.4701756506331772
51.34,2.94,0.23620684469346076
51.34,3.14,0.4701756506331772
51.34,2.88,0.23620684469346076
51.34,3.13,0.4701756506331772
51.35,3.13,0.4701756506331772
51.35,2.92,0.23620684469346076
51.35,2.84,0.23620684469346076
51.35,2.84,0.23620684469346076
51.35,2.84,0.23620684469346076
51.35,2.84,0.23620684469346076
51.35,2.94,0.23620684469346076
51.35,2.88,0.23620684469346076
51.35,3.16,0.4701756506331772
51.35,2.89,0.23620684469346076
51.35,2.85,0.23620684469346076
51.35,2.85,0.23620684469346076
51.35,2.85,0.23620684469346076
51.35,2.85,0.23620684469346076
51.35,2.87,0.23620684469346076
51.35,2.86,0.23620684469346076
51.35,2.95,0.271168414356958
51.36,2.93,0.23620684469346076
51.36,3.12,0.4701756506331772
51.36,2.97,0.271168414356958
51.36,2.95,0.271168414356958
51.36,2.94,0.23620684469346076
51.36,2.92,0.23620684469346076
51.36,2.96,0.271168414356958
51.36,2.86,0.23620684469346076
51.36,2.82,1.1297699213167391
51.36,2.88,0.23620684469346076
51.36,3.13,0.4701756506331772
51.37,2.97,0.32140551038644405
51.37,3.12,0.39311277206036727
51.37,2.99,0.32140551038644405
51.37,2.98,0.32140551038644405
51.38,2.93,0.177865051300708
51.38,3.12,0.39311277206036727
51.38,2.94,0.177865051300708
51.39,3.11,0.39311277206036727
51.4,3.11,0.39311277206036727
51.4,3.14,0.39311277206036727
51.4,3.15,0.39311277206036727
51.4,3.12,0.39311277206036727
51.4,3.13,0.39311277206036727
51.41,3.16,0.39311277206036727
51.41,3.19,0.683443968603585
51.41,3.18,0.683443968603585
51.41,3.17,0.683443968603585
51.41,3.2,0.683443968603585
51.42,3.26,0.683443968603585
51.42,3.2,0.683443968603585
51.42,3.24,0.683443968603585
51.42,3.28,0.31854250392525235
51.42,3.22,0.683443968603585
51.42,3.25,0.683443968603585
51.42,3.23,0.683443968603585
51.43,3.31,0.31854250392525235
51.43,3.27,0.683443968603585
51.43,3.27,0.683443968603585
51.43,3.27,0.683443968603585
51.43,3.27,0.683443968603585
51.43,3.33,0.31854250392525235
51.43,3.33,0.31854250392525235
51.43,3.33,0.31854250392525235
51.43,3.33,0.31854250392525235
51.46,3.2,0.35926585394019633
51.46,3.21,0.35926585394019633
51.47,3.24,0.35926585394019633
51.47,3.25,0.35926585394019633
51.47,3.36,0.34544914318808473
51.47,3.2,0.35926585394019633
51.48,3.22,0.35926585394019633
51.48,3.23,0.35926585394019633
51.48,3.27,0.35926585394019633
51.48,3.33,0.34544914318808473
51.48,3.3,0.34544914318808473
51.48,3.24,0.35926585394019633
51.49,3.36,0.34544914318808473
51.49,3.28,0.34544914318808473
51.49,1.58,0.3202498257062618
51.49,1.56,0.3202498257062618
51.49,3.37,0.34544914318808473
51.49,3.25,0.35926585394019633
51.5,1.59,0.3202498257062618
51.5,3.35,0.34544914318808473
51.5,1.57,0.3202498257062618
51.5,3.3,0.34544914318808473
51.5,1.55,0.3202498257062618
51.5,3.32,0.34544914318808473
51.5,1.58,0.3202498257062618
51.5,1.6,0.3202498257062618
51.51,1.61,0.3213827992362255
51.51,1.58,0.3213827992362255
51.51,1.57,0.3213827992362255
51.52,3.31,0.7067515046628736
51.52,1.63,1.3708615111662583
51.52,1.55,0.3213827992362255
51.52,1.58,0.3213827992362255
51.52,1.59,0.3213827992362255
51.52,1.62,1.3708615111662583
51.52,1.57,0.3213827992362255
51.52,1.56,0.3213827992362255
51.53,1.58,0.3213827992362255
