,date,lat_bin,lon_bin,Element,Element_value,Element_dis,Element_greater_than_max
137234,2015-02-16,5148,193,total mercury,97.0,28.907571002113723,1.0
137235,2015-02-16,5148,315,lead,1210.0,39.05382298288914,0.0
137236,2015-02-16,5148,317,lead,1210.0,39.62069024843807,0.0
137237,2015-02-16,5404,497,zinc,43500.0,147.18026410879892,1.0
137238,2015-02-16,5149,319,lead,1210.0,40.579314780221274,0.0
137239,2015-02-16,5149,320,lead,1210.0,40.86517569993877,0.0
137240,2015-02-16,5149,312,lead,1210.0,38.62136205937505,0.0
137241,2015-02-16,5149,194,lead,840.0,29.343125408638652,0.0
137242,2015-02-16,5405,502,zinc,43500.0,145.54270376496743,1.0
137243,2015-02-16,5405,500,zinc,43500.0,146.020806961424,1.0
137244,2015-02-16,5150,195,lead,840.0,29.725657239447113,0.0
137245,2015-02-16,5150,312,lead,1210.0,39.0322837531584,0.0
137246,2015-02-16,5150,321,lead,1210.0,41.53783745412463,0.0
137247,2015-02-16,5406,497,zinc,43500.0,146.30311403996893,1.0
137248,2015-02-16,5151,322,lead,1210.0,42.21153869634222,0.0
137249,2015-02-16,5151,312,lead,1210.0,39.44806332021039,0.0
137250,2015-02-16,5152,196,lead,840.0,30.67101571636176,0.0
137251,2015-02-16,5152,323,lead,1210.0,42.88622825544659,0.0
137252,2015-02-16,5152,324,lead,1210.0,43.169701203288504,0.0
137253,2015-02-16,5152,312,lead,1210.0,39.86854877602225,0.0
137254,2015-02-16,5153,325,lead,1210.0,43.84411708715229,0.0
137255,2015-02-16,5154,326,lead,1210.0,44.51945778268944,0.0
137256,2015-02-16,5154,197,lead,840.0,31.638292053326012,0.0
137257,2015-02-16,5154,312,lead,1210.0,40.72305263944425,0.0
137258,2015-02-16,5155,198,lead,840.0,32.06312443259114,0.0
137259,2015-02-16,5155,302,lead,1210.0,38.68587884176252,0.0
137260,2015-02-16,5155,312,lead,1210.0,41.1567900747014,0.0
137261,2015-02-16,5155,300,lead,1210.0,38.21678052700308,0.0
137262,2015-02-16,5155,328,lead,1210.0,45.476974759639035,0.0
137263,2015-02-16,5156,313,lead,1210.0,41.84961727458694,0.0
137264,2015-02-16,5156,305,lead,1210.0,39.86338592219938,0.0
137265,2015-02-16,5156,304,lead,1210.0,39.62410704646459,0.0
137266,2015-02-16,5156,303,lead,1210.0,39.38695147530754,0.0
137267,2015-02-16,5156,327,lead,1210.0,45.593950127223664,0.0
137268,2015-02-16,5157,324,lead,1210.0,45.17626030133826,0.0
137269,2015-02-16,5157,315,lead,1210.0,42.79866125160238,0.0
137270,2015-02-16,5157,307,lead,1210.0,40.80383392548726,0.0
137271,2015-02-16,5157,199,lead,840.0,33.06383252350523,0.0
137272,2015-02-16,5157,326,lead,1210.0,45.721714482869814,0.0
137273,2015-02-16,5158,316,lead,1210.0,43.491353236822235,0.0
137274,2015-02-16,5158,321,lead,1210.0,44.79139628170063,0.0
137275,2015-02-16,5158,323,lead,1210.0,45.32272253442436,0.0
137276,2015-02-16,5158,318,lead,1210.0,44.006379628846794,0.0
137277,2015-02-16,5158,199,lead,840.0,33.63096972763472,0.0
137278,2015-02-16,5159,315,lead,1210.0,43.67805435835915,0.0
137279,2015-02-16,5159,314,lead,1210.0,43.4275200321102,0.0
137280,2015-02-16,5159,316,lead,1210.0,43.930364721121805,0.0
137281,2015-02-16,5160,316,lead,1210.0,44.373156727595365,0.0
137282,2015-02-16,5160,315,lead,1210.0,44.12343345587067,0.0
137283,2015-02-16,5160,200,lead,840.0,34.653018184935966,0.0
137284,2015-02-16,5161,315,lead,1210.0,44.572449821295535,0.0
137285,2015-02-16,5161,317,lead,1210.0,45.06855158354005,0.0
137286,2015-02-16,5161,309,lead,1210.0,43.12823861424905,0.0
137287,2015-02-16,5161,316,lead,1210.0,44.81961720823706,0.0
137288,2015-02-16,5162,201,lead,840.0,35.69024448610493,0.0
137289,2015-02-16,5162,317,lead,1210.0,45.51605682750522,0.0
137290,2015-02-16,5162,318,lead,1210.0,45.764223546557346,0.0
137291,2015-02-16,5162,316,lead,1210.0,45.269637624950064,0.0
137292,2015-02-16,5162,312,lead,1210.0,44.30201618263328,0.0
137293,2015-02-16,5163,317,lead,1210.0,45.967047667120674,0.0
137294,2015-02-16,5163,202,lead,840.0,36.16312168413191,0.0
137295,2015-02-16,5164,314,lead,1210.0,45.70238238457527,0.0
137296,2015-02-16,5164,313,lead,1210.0,45.46636175404917,0.0
137297,2015-02-16,5165,316,lead,1210.0,46.64002395346084,0.0
137298,2015-02-16,5165,319,lead,1210.0,47.36248728290328,0.0
137299,2015-02-16,5165,315,lead,1210.0,46.40276341948642,0.0
137300,2015-02-16,5165,317,lead,1210.0,46.87908296783471,0.0
137301,2015-02-16,5165,202,lead,840.0,37.32029482718372,0.0
137302,2015-02-16,5165,318,lead,1210.0,47.119913084879386,0.0
137303,2015-02-16,5166,319,lead,1210.0,47.818574690986104,0.0
137304,2015-02-16,5166,320,lead,1210.0,48.060494969000736,0.0
137305,2015-02-16,5166,318,lead,1210.0,47.578378863419736,0.0
137306,2015-02-16,5167,320,lead,1210.0,48.51739801109554,0.0
137307,2015-02-16,5167,322,lead,1210.0,49.00164403841614,0.0
137308,2015-02-16,5167,319,lead,1210.0,48.27782019949124,0.0
137309,2015-02-16,5167,323,lead,1210.0,49.24626219052464,0.0
137310,2015-02-16,5167,324,lead,1210.0,49.49251093206904,0.0
137311,2015-02-16,5167,321,lead,1210.0,48.75868102191523,0.0
137312,2015-02-16,5167,202,lead,840.0,38.48014198980018,0.0
137313,2015-02-16,5168,203,lead,840.0,38.96915283473314,0.0
137314,2015-02-16,5168,325,lead,1210.0,50.18889565074879,0.0
137315,2015-02-16,5168,326,lead,1210.0,50.4360607325976,0.0
137316,2015-02-16,5170,204,lead,840.0,40.04945033128231,0.0
137317,2015-02-16,5171,205,lead,840.0,40.55322990614026,0.0
137318,2015-02-16,5173,206,lead,840.0,41.65124037583564,0.0
137319,2015-02-16,5174,207,lead,840.0,42.168273152804176,0.0
137320,2015-02-16,5177,210,lead,840.0,43.75157409877514,0.0
137321,2015-02-16,5178,211,lead,840.0,44.289428754841104,0.0
137322,2015-02-16,5179,212,lead,840.0,44.83202266411375,0.0
137323,2015-02-16,5181,213,lead,840.0,45.97495881096058,0.0
137324,2015-02-16,5181,219,lead,840.0,45.75500300961425,0.0
137325,2015-02-16,5182,217,lead,840.0,46.41417462930284,0.0
137326,2015-02-16,5182,216,lead,840.0,46.448870121173215,0.0
137327,2015-02-16,5183,215,lead,840.0,47.083647153944305,0.0
137328,2015-02-16,5183,216,lead,840.0,47.046450529408695,0.0
137329,2015-02-16,5183,213,lead,840.0,47.16686113564618,0.0
137330,2015-02-16,5184,212,lead,840.0,47.8083978158364,0.0
137331,2015-02-16,5184,214,lead,840.0,47.72045253519377,0.0
137332,2015-02-16,5184,213,lead,840.0,47.76297964194308,0.0
137333,2015-02-16,5185,210,lead,840.0,48.50228577980222,0.0
137334,2015-02-16,5185,211,lead,840.0,48.45174967583358,0.0
137335,2015-02-16,5186,211,lead,840.0,49.04693102931582,0.0
137336,2015-02-16,5114,258,lead,1210.0,9.58658104005153,0.0
137337,2015-02-16,5114,257,lead,1210.0,9.277553461533744,0.0
137338,2015-02-16,5114,256,lead,1210.0,8.973729851163224,0.0
137339,2015-02-16,5115,260,lead,1210.0,10.547401227173562,0.0
137340,2015-02-16,5115,259,lead,1210.0,10.239667306625673,0.0
137341,2015-02-16,5115,262,lead,1210.0,11.17561452574468,0.0
137342,2015-02-16,5116,264,lead,1210.0,12.133673847303314,0.0
137343,2015-02-16,5116,262,lead,1210.0,11.508489752932386,0.0
137344,2015-02-16,5119,211,lead,840.0,10.568919462047358,0.0
137345,2015-02-16,5376,735,zinc,43500.0,124.17354601687148,1.0
137346,2015-02-16,5376,733,zinc,43500.0,124.28927384799537,1.0
137347,2015-02-16,5377,750,zinc,43500.0,122.82992672478085,1.0
137348,2015-02-16,5377,749,zinc,43500.0,122.87331427786941,1.0
137349,2015-02-16,5377,734,zinc,43500.0,123.63860675418721,1.0
137350,2015-02-16,5377,741,zinc,43500.0,123.25485433154101,1.0
137351,2015-02-16,5377,754,zinc,43500.0,122.66598807372232,1.0
