,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137243,2015-02-16,5405,500,zinc,43500.0,146.020806961424
137244,2015-02-16,5150,195,pyrene,21.3,29.725657239447113
137245,2015-02-16,5150,312,lead,1210.0,39.0322837531584
137246,2015-02-16,5150,321,lead,1210.0,41.53783745412463
137247,2015-02-16,5406,497,zinc,43500.0,146.30311403996893
137248,2015-02-16,5151,322,lead,1210.0,42.21153869634222
137249,2015-02-16,5151,312,lead,1210.0,39.44806332021039
137250,2015-02-16,5152,196,pyrene,21.3,30.67101571636176
137251,2015-02-16,5152,323,lead,1210.0,42.88622825544659
137252,2015-02-16,5152,324,lead,1210.0,43.169701203288504
137253,2015-02-16,5152,312,lead,1210.0,39.86854877602225
137254,2015-02-16,5153,325,lead,1210.0,43.84411708715229
137255,2015-02-16,5154,326,lead,1210.0,44.51945778268944
137256,2015-02-16,5154,197,pyrene,21.3,31.638292053326012
137257,2015-02-16,5154,312,lead,1210.0,40.72305263944425
137258,2015-02-16,5155,198,pyrene,21.3,32.06312443259114
137259,2015-02-16,5155,302,lead,1210.0,38.68587884176252
137260,2015-02-16,5155,312,lead,1210.0,41.1567900747014
137261,2015-02-16,5155,300,lead,1210.0,38.21678052700308
137262,2015-02-16,5155,328,lead,1210.0,45.476974759639035
137263,2015-02-16,5156,313,lead,1210.0,41.84961727458694
137264,2015-02-16,5156,305,lead,1210.0,39.86338592219938
137265,2015-02-16,5156,304,lead,1210.0,39.62410704646459
137266,2015-02-16,5156,303,lead,1210.0,39.38695147530754
137267,2015-02-16,5156,327,lead,1210.0,45.593950127223664
137268,2015-02-16,5157,324,lead,1210.0,45.17626030133826
137269,2015-02-16,5157,315,lead,1210.0,42.79866125160238
137270,2015-02-16,5157,307,lead,1210.0,40.80383392548726
137271,2015-02-16,5157,199,pyrene,21.3,33.06383252350523
137272,2015-02-16,5157,326,lead,1210.0,45.721714482869814
137273,2015-02-16,5158,316,lead,1210.0,43.491353236822235
137274,2015-02-16,5158,321,lead,1210.0,44.79139628170063
137275,2015-02-16,5158,323,lead,1210.0,45.32272253442436
137276,2015-02-16,5158,318,lead,1210.0,44.006379628846794
137277,2015-02-16,5158,199,pyrene,21.3,33.63096972763472
137278,2015-02-16,5159,315,lead,1210.0,43.67805435835915
