,StartLatitude,StartLongitude,EndLatitude,EndLongitude
0,35.25,-7.0,35.25,-7.0
1,35.2987,-6.2987,35.2987,-6.2987
2,35.4,-7.183330000000001,35.4,-7.183330000000001
3,35.5,-9.0,35.5,-9.0
4,35.7875,-8.42207,35.7875,-8.42207
5,36.0,-7.25,36.0,-7.25
6,36.5,-7.25,36.5,-7.25
7,43.5,-55.7,43.5,-55.7
8,56.4983,2.99667,56.4983,2.99667
9,58.05,9.667,58.05,9.667
10,64.685,5.28333,64.685,5.28333
11,64.7545,4.98117,64.7545,4.98117
12,71.0666,-71.0666,71.0666,-71.0666
13,72.0,14.7166,72.0,14.7166
14,53.738333,-53.34,53.751667000000005,-53.333332999999996
15,53.731667,-53.786667,53.74333299999999,-53.79666700000001
16,53.911667,-54.428332999999995,53.9,-54.433333
17,54.321667000000005,-55.48,54.333332999999996,-55.488333
18,53.67333299999999,-55.408333,53.68833299999999,-55.41
19,53.468332999999994,-54.886667,53.466667,-54.863333
20,53.308333,-54.156667000000006,53.31,-54.135
21,53.1,-55.178332999999995,53.101667000000006,-55.155
22,52.92,-54.99166700000001,52.926667,-54.975
23,52.706667,-54.396667,52.695,-54.398332999999994
24,52.556667000000004,-54.408333,52.56333299999999,-54.39
25,52.471667000000004,-54.705,52.465,-54.726667000000006
26,52.278333,-54.911667,52.29,-54.918333
27,52.061667,-54.365,52.07,-54.38333299999999
28,51.875,-54.103333,51.886666999999996,-54.115
29,51.701667,-54.028332999999996,51.686667,-54.018333
30,51.521667,-54.363333,51.533333,-54.363333
31,50.48,-54.985,50.466667,-54.99166700000001
32,50.576667,-55.128333,50.565,-55.13166700000001
33,50.81,-55.02,50.801667,-55.03
34,50.901666999999996,-55.151667,50.891667,-55.141667000000005
35,50.968333,-55.071667000000005,50.96,-55.071667000000005
36,51.155,-55.32666700000001,51.148333,-55.31333299999999
37,51.37,-55.345,51.36,-55.351667000000006
38,51.328333,-54.595,51.318333,-54.585
39,51.281667,-54.305,51.28,-54.325
40,51.48,-54.323333,51.468333,-54.315
41,51.601667,-54.411667,51.591667,-54.405
42,51.64,-54.63,51.646667,-54.646667
43,51.68,-54.871667,51.668333000000004,-54.86
44,52.086667,-55.125,52.086667,-55.145
45,52.426667,-53.893333,52.415,-53.886667
46,52.358333,-53.466667,52.363333000000004,-53.485
47,52.196667,-53.521667,52.208333,-53.516667000000005
48,52.19,-52.95166700000001,52.188333,-52.963333
49,51.953333,-53.128333,51.965,-53.123332999999995
50,51.911667,-53.565,51.901666999999996,-53.555
51,51.555,-53.3,51.556667,-53.278332999999996
52,51.42,-53.67333299999999,51.411667,-53.68833299999999
53,51.366667,-53.463333,51.353333,-53.48
54,51.023333,-53.745,51.03,-53.728333
55,51.481667,-52.82,51.491667,-52.808333
56,51.813333,-52.70166700000001,51.816666999999995,-52.72
57,52.073333,-52.50833299999999,52.085,-52.501667000000005
58,52.178333,-52.383333,52.17,-52.398333
59,52.191666999999995,-52.25,52.198333,-52.233333
60,52.143333,-51.793333000000004,52.143333,-51.776666999999996
61,51.806667,-51.888333,51.795,-51.893333
62,51.433333000000005,-52.135,51.421667,-52.141667
63,51.131667,-51.885,51.121666999999995,-51.876667
64,51.181667,-51.736667,51.188333,-51.72
65,51.186667,-51.485,51.185,-51.466667
66,50.988333000000004,-51.115,50.986667,-51.1
67,51.215,-51.083333,51.226667,-51.075
68,51.318333,-51.096667,51.315,-51.116667
69,51.385,-51.808333000000005,51.38,-51.828333
70,51.54,-51.4,51.543333000000004,-51.38
71,51.605,-50.906667,51.61,-50.891667
72,51.791667,-50.913333,51.788333,-50.931667
73,51.926667,-51.06,51.916667,-51.048333
74,52.045,-50.898333,52.055,-50.911667
75,52.161667,-50.926667,52.161667,-50.915
76,52.161667,-50.926667,52.161667,-50.915
77,52.021667,-50.663333,52.011666999999996,-50.651666999999996
78,52.021667,-50.663333,52.011666999999996,-50.651666999999996
79,52.021667,-50.663333,52.011666999999996,-50.651666999999996
80,51.891667,-50.42,51.885,-50.406667
81,51.891667,-50.42,51.885,-50.406667
82,51.69,-50.44,51.683333000000005,-50.43
83,51.598333000000004,-50.096667,51.59,-50.085
84,51.598333000000004,-50.096667,51.59,-50.085
85,51.541667,-50.396667,51.531667,-50.388333
